level	xp_required	xp_type	xp_multiplier	health_granted	tier	comments	temp_xp_calc	expertise_points
i	i	s	i	i	c	c	c	i
1	0	combat_meleespecialize_unarmed	1	0			1000	0
2	500	combat_meleespecialize_onehand	1	300			2500	0
3	1700	combat_meleespecialize_twohand	1	450			5000	0
4	3800	combat_meleespecialize_polearm	1	600			10000	0
5	6900	combat_rangedspecialize_rifle	1	750			15000	0
6	11000	combat_rangedspecialize_pistol	1	900			20000	0
7	16200	combat_rangedspecialize_carbine	1	1050		4000	25000	0
8	22600	combat_rangedspecialize_heavy	1	1200			30000	0
9	30300	bountyhunter	35	1350			35000	0
10	39400	jedi_general	1	1500		4004	39150	15
11	50000	crafting_medicine_general	1	1650			103530	0
12	62200	combat_general	1	1800			133304	3
13	76000	medical	1	1950			165526	0
14	91500	creaturehandler	1	2100	tier 7	first novice elite	200400	3
15	108800	trapping	1	2250			238130	0
16	128000	scout	1	2340		marksman +.1line elite	278920	3
17	149200	entertainer	1	2430			322974	0
18	172500	crafting	1	2520		marksman +.2line elite	370496	3
19	198000			2610			421690	0
20	225800			2700			476760	3
21	256000			2790		marksman +.3line elite	535910	0
22	288700			2880			599344	3
23	324000			2970	tier 8	marksman +1 line elite	667266	0
24	362000			3060			739880	3
25	402800			3150		marksman +1.1line elite	817390	0
26	446500			3240			900000	3
27	493200			3330		marksman +1.2line elite	987914	0
28	543000			3420			1081336	3
29	596000			3510			1180470	0
30	652300			3600		marksman +1.3line elite	1285520	3
31	712100			3690			1396690	0
32	775500			3780	tier 9	marksman +2 line elite	1514184	3
33	842600			3870			1638206	0
34	913600			3960		marksman +2.1line elite	1768960	3
35	988600			4050			1906650	0
36	1067800			4140		marksman +2.2line elite	2051480	3
37	1151300			4230			2203654	0
38	1239300			4320			2363376	3
39	1331900			4410		marksman +2.3line elite	2530850	0
40	1429300			4500			2706280	3
41	1531600			4590	tier 10	marksman +3 line elite	2889870	0
42	1639000			4680			3081824	3
43	1751700			4770		marksman +2.1line elite	3282346	0
44	1869900			4860			3491640	3
45	1993800			4950		marksman +2.2line elite	3709910	0
46	2123600			5040			3937360	3
47	2259500			5130			4174194	0
48	2401700			5220		marksman +2.3line elite	4420616	3
49	2550400			5310			4676830	0
50	2705800			5400	tier 11	marksman +4 line elite	4943040	3
51	2868100			5490			5219450	0
52	3037600			5580			5506264	3
53	3214500			5670			5803686	0
54	3399000			5760	tier 12	one elite mastery	6111920	3
55	3591400			6000			6416482	0
56	3792000			6240			6717168	3
57	4001000			6480			7013774	0
58	4218700			6720			7306096	3
59	4445400			6960			7593930	0
60	4681400			7200	tier 13	marksman +mastery +1line 2nd elite	7877072	3
61	4927000			7440			8155318	0
62	5182500			7680			8428464	3
63	5448300			7920			8696306	0
64	5724700			8160			8958640	3
65	6012100			8400	tier 14	marksman +mastery +2line 2nd elite	9215262	0
66	6310800			8640			9465968	3
67	6621200			8880			9710554	0
68	6943700			9120			9948816	3
69	7278700			9360			10180550	0
70	7626600			9600	tier 15	marksman +mastery +3line 2nd elite	10405552	3
71	7987800			9840			10623618	0
72	8362800			10080			10834544	3
73	8752000			10320			11038126	0
74	9155900			10560			11234160	3
75	9575000			10800	tier 16	marksman +mastery +4line 2nd elite	11422442	0
76	10009800			11040			11602768	3
77	10460800			11280			11774934	0
78	10928500			11520			11938736	3
79	11413500			11760			12093970	0
80	11916400			12000	tier 17	second elite mastery	12240432	3
81	12437700			12600				0
82	12978100			13200				3
83	13538200			13800				0
84	14118600			14400				3
85	14720000			15000				0
86	15343100			35600				3
87	15988600			56200				0
88	16657200			76800				3
89	17349700			97400				0
90	18066900			118000				3
